0,1
Datasets/IAM_Sentences/sentences/g06/g06-011h/g06-011h-s01-01.png,his health permitted him to enjoy anything .
Datasets/IAM_Sentences/sentences/g06/g06-011n/g06-011n-s01-02.png,health permitted him to enjoy
Datasets/IAM_Sentences/sentences/h07/h07-066a/h07-066a-s01-03.png,"total population , has been and still is below the"
Datasets/IAM_Sentences/sentences/f07/f07-076a/f07-076a-s02-04.png,specifically national .
Datasets/IAM_Sentences/sentences/g06/g06-045m/g06-045m-s00-06.png,being treated under a doctor who had
Datasets/IAM_Sentences/sentences/h07/h07-071a/h07-071a-s00-00.png,"During this period , when large numbers of school-"
Datasets/IAM_Sentences/sentences/c03/c03-084a/c03-084a-s00-03.png,them .
Datasets/IAM_Sentences/sentences/a01/a01-014x/a01-014x-s00-02.png,future .
Datasets/IAM_Sentences/sentences/g06/g06-037m/g06-037m-s02-03.png,effective alleviation of his painful malady .
Datasets/IAM_Sentences/sentences/g06/g06-042p/g06-042p-s01-02.png,method known as homoeopathy had been brought
Datasets/IAM_Sentences/sentences/k07/k07-059a/k07-059a-s01-00.png,"He , the master , was gently"
Datasets/IAM_Sentences/sentences/g06/g06-018n/g06-018n-s01-00.png,"In late November , he"
Datasets/IAM_Sentences/sentences/h07/h07-060a/h07-060a-s00-04.png,erected some buildings as a speculative venture .
Datasets/IAM_Sentences/sentences/c03/c03-087b/c03-087b-s00-04.png,"around him in complete , unredeemable desolation ."
Datasets/IAM_Sentences/sentences/g06/g06-011e/g06-011e-s05-02.png,"the soldier - a favourable change in my eye , particularly"
Datasets/IAM_Sentences/sentences/f07/f07-046b/f07-046b-s00-03.png,high opinion of the octopus as an article of diet .
Datasets/IAM_Sentences/sentences/g07/g07-014b/g07-014b-s01-01.png,"days before Trelawny appeared , Gamba wrote to Lord Sidney Osborne ,"
Datasets/IAM_Sentences/sentences/g06/g06-026k/g06-026k-s01-00.png,It so happens that I have
Datasets/IAM_Sentences/sentences/g06/g06-050m/g06-050m-s02-06.png,of ever being cured . '
Datasets/IAM_Sentences/sentences/g06/g06-011a/g06-011a-s04-01.png,"people , and what a busy town ."
Datasets/IAM_Sentences/sentences/g06/g06-050a/g06-050a-s02-02.png,"gentle and charming character , even-tempered"
Datasets/IAM_Sentences/sentences/g06/g06-018o/g06-018o-s02-00.png,The journey
Datasets/IAM_Sentences/sentences/f07/f07-021b/f07-021b-s01-00.png,The ancient
Datasets/IAM_Sentences/sentences/h07/h07-060b/h07-060b-s00-00.png,The development corporations have provided office
Datasets/IAM_Sentences/sentences/c03/c03-021a/c03-021a-s01-01.png,estranged from women but yet moved by a
Datasets/IAM_Sentences/sentences/a01/a01-038x/a01-038x-s00-02.png,had found messages sent from the Government were
Datasets/IAM_Sentences/sentences/g06/g06-045o/g06-045o-s00-01.png,"ther-in-law , the diplomatist Lord Pon-"
Datasets/IAM_Sentences/sentences/h07/h07-040b/h07-040b-s00-02.png,"the small shoe-mender , with banks specially"
Datasets/IAM_Sentences/sentences/g06/g06-018m/g06-018m-s02-03.png,& I have not yet thought of a fire ... .
Datasets/IAM_Sentences/sentences/g06/g06-011e/g06-011e-s04-00.png,"What a gay ,"
Datasets/IAM_Sentences/sentences/g06/g06-047b/g06-047b-s01-01.png,"was the Neapolitan , Dr Giuseppe Mauro ,"
Datasets/IAM_Sentences/sentences/g06/g06-011p/g06-011p-s05-02.png,"the soldier - a favourable change in my eye ,"
Datasets/IAM_Sentences/sentences/g07/g07-074a/g07-074a-s01-06.png,wonder at her magnanimity and Augusta's
Datasets/IAM_Sentences/sentences/a01/a01-000u/a01-000u-s00-00.png,A MOVE to stop Mr. Gaitskell from
Datasets/IAM_Sentences/sentences/g06/g06-042m/g06-042m-s01-04.png,been brought to his notice .
Datasets/IAM_Sentences/sentences/c03/c03-096c/c03-096c-s01-00.png,"The rest , one feels , were"
Datasets/IAM_Sentences/sentences/c03/c03-003f/c03-003f-s01-04.png,"central characters to their background ,"
Datasets/IAM_Sentences/sentences/g06/g06-042f/g06-042f-s01-01.png,"1830 , when Anglesey believed himself to be on the point of death ,"
Datasets/IAM_Sentences/sentences/g06/g06-037d/g06-037d-s03-01.png,to which he had been subjected ever since the symp-
Datasets/IAM_Sentences/sentences/g06/g06-026k/g06-026k-s00-00.png,A pleasant life truly ! ...
Datasets/IAM_Sentences/sentences/c03/c03-003d/c03-003d-s02-00.png,"In Fanny , which"
Datasets/IAM_Sentences/sentences/g06/g06-050n/g06-050n-s02-04.png,"and sedate , not easily irritated ,"
Datasets/IAM_Sentences/sentences/h07/h07-054a/h07-054a-s00-01.png,organisations have until quite recently shown
Datasets/IAM_Sentences/sentences/c03/c03-016e/c03-016e-s01-00.png,A young
Datasets/IAM_Sentences/sentences/c03/c03-021a/c03-021a-s01-04.png,as a protector and comforter to her in her
Datasets/IAM_Sentences/sentences/c03/c03-003c/c03-003c-s01-04.png,"characters to their background , which bring the"
Datasets/IAM_Sentences/sentences/g07/g07-022b/g07-022b-s00-00.png,"Augusta Leigh too was favourably impressed , and wrote"
Datasets/IAM_Sentences/sentences/c03/c03-007a/c03-007a-s01-05.png,integral part of the story .
Datasets/IAM_Sentences/sentences/g06/g06-047o/g06-047o-s00-02.png,a year or two later as ' more like a God
Datasets/IAM_Sentences/sentences/g06/g06-037l/g06-037l-s03-03.png,shown themselves seventeen years before had had the
Datasets/IAM_Sentences/sentences/h07/h07-063b/h07-063b-s00-00.png,More modest premises are provided on the upper
Datasets/IAM_Sentences/sentences/g06/g06-011b/g06-011b-s02-02.png,resource .
Datasets/IAM_Sentences/sentences/a01/a01-038x/a01-038x-s00-00.png,Mr. Macleod thought the two Rhodesian parties
Datasets/IAM_Sentences/sentences/g06/g06-050k/g06-050k-s02-04.png,"not easily irritated , patient and persevering ,"
Datasets/IAM_Sentences/sentences/g06/g06-045e/g06-045e-s00-05.png,"who had studied under its founder , the aged Dr. Samuel"
Datasets/IAM_Sentences/sentences/g06/g06-031d/g06-031d-s02-01.png,infatuation !
Datasets/IAM_Sentences/sentences/a01/a01-063x/a01-063x-s02-01.png,"Germany's "" aid "" is the early payment"
Datasets/IAM_Sentences/sentences/c03/c03-094d/c03-094d-s00-08.png,"but played with proper efficiency and ,"
Datasets/IAM_Sentences/sentences/c03/c03-096d/c03-096d-s02-03.png,foreigners of tradition .
Datasets/IAM_Sentences/sentences/g06/g06-042e/g06-042e-s01-01.png,"himself to be on the point of death , the new German"
Datasets/IAM_Sentences/sentences/g06/g06-050n/g06-050n-s02-02.png,"a strong , energetic man with a gentle"
Datasets/IAM_Sentences/sentences/c03/c03-016c/c03-016c-s02-01.png,"surroundings she learns sex is something sordid ,"
Datasets/IAM_Sentences/sentences/a01/a01-020x/a01-020x-s04-00.png,The conference will meet
Datasets/IAM_Sentences/sentences/c03/c03-021c/c03-021c-s02-04.png,"someone to love "" ."
Datasets/IAM_Sentences/sentences/g06/g06-050p/g06-050p-s02-01.png,"that he found Anglesey a strong , energetic man with a"
Datasets/IAM_Sentences/sentences/f07/f07-092a/f07-092a-s02-01.png,turned it over on the table cloth to
Datasets/IAM_Sentences/sentences/g06/g06-031k/g06-031k-s04-00.png,"I may be mistaken , 1tho'"
Datasets/IAM_Sentences/sentences/g06/g06-042p/g06-042p-s01-03.png,to his notice .
Datasets/IAM_Sentences/sentences/g07/g07-003a/g07-003a-s02-01.png,FAILED EVEN TO MEET LORD SIDNEY AND THE
Datasets/IAM_Sentences/sentences/f07/f07-092a/f07-092a-s00-00.png,Dante Gabriel Rossetti had simple tastes
Datasets/IAM_Sentences/sentences/c03/c03-000d/c03-000d-s01-02.png,who is also part-author with Miss Delaney
Datasets/IAM_Sentences/sentences/a01/a01-026x/a01-026x-s00-03.png,future .
Datasets/IAM_Sentences/sentences/g06/g06-018j/g06-018j-s00-00.png,"When the sailing season was past , he sent Pearl"
Datasets/IAM_Sentences/sentences/f07/f07-024a/f07-024a-s00-01.png,way of cooking meat except by roasting and boiling .
Datasets/IAM_Sentences/sentences/g07/g07-007b/g07-007b-s01-01.png,to have found everything in uttermost disorder - ' tokens that
Datasets/IAM_Sentences/sentences/g06/g06-050a/g06-050a-s00-01.png,"master at Ko""then , near Leipzig , asking for advice ."
Datasets/IAM_Sentences/sentences/c03/c03-081b/c03-081b-s00-03.png,minds about her if she remained a flawed but
Datasets/IAM_Sentences/sentences/g06/g06-011a/g06-011a-s01-00.png,He told Cloncurry that he enjoyed it as
Datasets/IAM_Sentences/sentences/g06/g06-031b/g06-031b-s03-02.png,country !
Datasets/IAM_Sentences/sentences/g06/g06-031a/g06-031a-s03-00.png,"Personally I am indifferent , but"
Datasets/IAM_Sentences/sentences/g06/g06-011g/g06-011g-s04-01.png,and what a busy town .
Datasets/IAM_Sentences/sentences/a01/a01-132u/a01-132u-s00-00.png,""" That cannot continue without either development"
Datasets/IAM_Sentences/sentences/g06/g06-050o/g06-050o-s02-00.png,He told Hahnemann that he found
Datasets/IAM_Sentences/sentences/c03/c03-021a/c03-021a-s02-01.png,her his forlorn gift of companionship and sym-
Datasets/IAM_Sentences/sentences/g06/g06-031k/g06-031k-s02-00.png,What
Datasets/IAM_Sentences/sentences/g06/g06-042a/g06-042a-s01-02.png,"of death , the new German curative method"
Datasets/IAM_Sentences/sentences/h07/h07-066a/h07-066a-s01-02.png,"school-leaving age , expressed as a percentage of the"
Datasets/IAM_Sentences/sentences/f07/f07-042b/f07-042b-s02-01.png,"white mice served alive , dipped in treacle"
Datasets/IAM_Sentences/sentences/g06/g06-018b/g06-018b-s01-01.png,"November , he was ' suffering as usual ' ,"
Datasets/IAM_Sentences/sentences/n02/n02-082a/n02-082a-s01-00.png,"She avoided his gaze , and tried to ignore that"
Datasets/IAM_Sentences/sentences/g06/g06-050m/g06-050m-s02-01.png,told Hahnemann that he found Anglesey a
Datasets/IAM_Sentences/sentences/g06/g06-037i/g06-037i-s02-01.png,in the history of Anglesey's unceasing search for an
Datasets/IAM_Sentences/sentences/a01/a01-053x/a01-053x-s02-00.png,"He believed he would perform "" outstanding"
Datasets/IAM_Sentences/sentences/g06/g06-011i/g06-011i-s05-01.png,man was a priest : here the priest is 1superceded by
Datasets/IAM_Sentences/sentences/g06/g06-045k/g06-045k-s00-06.png,"its founder , the aged Dr. Samuel Hahnemann ."
Datasets/IAM_Sentences/sentences/h07/h07-054a/h07-054a-s01-03.png,much as the total area so far completed .
Datasets/IAM_Sentences/sentences/g06/g06-050l/g06-050l-s02-04.png,' but he appears to despair of ever being cured . '
Datasets/IAM_Sentences/sentences/c03/c03-016a/c03-016a-s03-02.png,to bear his child and sails away .
Datasets/IAM_Sentences/sentences/g06/g06-026g/g06-026g-s03-01.png,"letter he heard of the fall of the Whigs , and the temporary"
Datasets/IAM_Sentences/sentences/g07/g07-026b/g07-026b-s00-07.png,"and having betrayed him , she had grown to"
Datasets/IAM_Sentences/sentences/g06/g06-045n/g06-045n-s00-03.png,"sey to give the system a trial , adding"
Datasets/IAM_Sentences/sentences/h07/h07-054a/h07-054a-s00-00.png,"Except at Hemel Hempstead , large office"
Datasets/IAM_Sentences/sentences/g06/g06-042n/g06-042n-s00-01.png,"today , in the 1960s , no cure has been"
Datasets/IAM_Sentences/sentences/g06/g06-031h/g06-031h-s04-04.png,"dissolution , which must be had , will be a mass"
Datasets/IAM_Sentences/sentences/c03/c03-096a/c03-096a-s01-03.png,with which he had endowed them .
Datasets/IAM_Sentences/sentences/g06/g06-011f/g06-011f-s05-01.png,"Rome , every other man was a priest : here the priest is 1superceded"
Datasets/IAM_Sentences/sentences/g06/g06-031l/g06-031l-s03-00.png,"Personally I am indifferent , but I really tremble"
Datasets/IAM_Sentences/sentences/g06/g06-031h/g06-031h-s03-01.png,tremble for my country !
Datasets/IAM_Sentences/sentences/g06/g06-045m/g06-045m-s00-02.png,had written to advise Anglesey to give the
Datasets/IAM_Sentences/sentences/f07/f07-081b/f07-081b-s01-02.png,the same unfailing sense of proportion as exists among
Datasets/IAM_Sentences/sentences/g06/g06-045d/g06-045d-s00-01.png,"diplomatist Lord Ponsonby , had written to advise Anglesey"
Datasets/IAM_Sentences/sentences/g06/g06-050k/g06-050k-s02-05.png,' but he appears to despair of ever being cured . '
Datasets/IAM_Sentences/sentences/g06/g06-026l/g06-026l-s01-02.png,ever was .
Datasets/IAM_Sentences/sentences/g06/g06-037b/g06-037b-s01-00.png,"Sir R. Peel was here , I understand , but"
Datasets/IAM_Sentences/sentences/g06/g06-011k/g06-011k-s05-00.png,"At Rome , every"
Datasets/IAM_Sentences/sentences/g06/g06-047o/g06-047o-s00-04.png,an increasing number of disciples among
Datasets/IAM_Sentences/sentences/c03/c03-016b/c03-016b-s02-00.png,In such surroundings she
Datasets/IAM_Sentences/sentences/g06/g06-011r/g06-011r-s00-00.png,By the end of the month he still delighted in Naples .
Datasets/IAM_Sentences/sentences/g06/g06-042m/g06-042m-s01-03.png,method known as homoeopathy had
Datasets/IAM_Sentences/sentences/c03/c03-003f/c03-003f-s01-00.png,It has been concei-
Datasets/IAM_Sentences/sentences/c03/c03-096e/c03-096e-s02-01.png,"is not asking us to believe that , because of"
Datasets/IAM_Sentences/sentences/a01/a01-014u/a01-014u-s04-00.png,"Yesterday Sir Roy's chief aide , Mr."
Datasets/IAM_Sentences/sentences/a01/a01-072u/a01-072u-s00-01.png,America's dollar reserves .
Datasets/IAM_Sentences/sentences/a01/a01-014u/a01-014u-s04-02.png,a report on his talks with Mr. Macmillan
Datasets/IAM_Sentences/sentences/a01/a01-058x/a01-058x-s00-02.png,help America's balance of payments position
Datasets/IAM_Sentences/sentences/g06/g06-042n/g06-042n-s01-01.png,"as 1830 , when Anglesey believed himself"
Datasets/IAM_Sentences/sentences/g06/g06-018e/g06-018e-s01-00.png,In late
Datasets/IAM_Sentences/sentences/g06/g06-031a/g06-031a-s03-01.png,I really tremble for my country !
Datasets/IAM_Sentences/sentences/h07/h07-066b/h07-066b-s01-00.png,Because
Datasets/IAM_Sentences/sentences/g06/g06-042k/g06-042k-s01-00.png,"As early as 1830 , when Anglesey"
Datasets/IAM_Sentences/sentences/c03/c03-096b/c03-096b-s00-00.png,"Only Mr. Lucas's actions , therefore , arose"
Datasets/IAM_Sentences/sentences/g06/g06-047p/g06-047p-s00-00.png,"This remarkable man of medicine , whom Sir Francis Burdett"
Datasets/IAM_Sentences/sentences/a01/a01-020x/a01-020x-s04-01.png,to discuss the function of a proposed House
Datasets/IAM_Sentences/sentences/c03/c03-021b/c03-021b-s01-04.png,of need .
Datasets/IAM_Sentences/sentences/f07/f07-076a/f07-076a-s03-00.png,The art and
Datasets/IAM_Sentences/sentences/a01/a01-117u/a01-117u-s00-00.png,"In fact , the Tories made it worse now"
Datasets/IAM_Sentences/sentences/g06/g06-050j/g06-050j-s02-05.png,he appears to despair of ever being
Datasets/IAM_Sentences/sentences/a01/a01-020u/a01-020u-s03-01.png,them today .
Datasets/IAM_Sentences/sentences/g06/g06-037k/g06-037k-s03-01.png,of the numerous conventional remedies to which he
Datasets/IAM_Sentences/sentences/h07/h07-063a/h07-063a-s00-00.png,More modest premises are provided on the upper floors over
Datasets/IAM_Sentences/sentences/a01/a01-091u/a01-091u-s03-01.png,many people far beyond the ranks of
Datasets/IAM_Sentences/sentences/c03/c03-000c/c03-000c-s00-01.png,A Taste of Honey opens at the Leicester Square
Datasets/IAM_Sentences/sentences/g06/g06-047g/g06-047g-s01-00.png,"One of these was the Neapolitan ,"
Datasets/IAM_Sentences/sentences/h07/h07-060b/h07-060b-s01-02.png,in many cases a break clause in the lease allowing
Datasets/IAM_Sentences/sentences/a01/a01-043x/a01-043x-s04-00.png,One of his tasks
Datasets/IAM_Sentences/sentences/c03/c03-094d/c03-094d-s00-07.png,asked to modulate from their set moods
Datasets/IAM_Sentences/sentences/g06/g06-050n/g06-050n-s02-05.png,"patient and persevering , ' but he"
Datasets/IAM_Sentences/sentences/g06/g06-037l/g06-037l-s02-02.png,an effective alleviation of his painful malady .
Datasets/IAM_Sentences/sentences/g06/g06-047o/g06-047o-s00-00.png,"This remarkable man of medicine , whom"
Datasets/IAM_Sentences/sentences/f07/f07-081b/f07-081b-s01-03.png,"her writers , music composers and other exponents of"
Datasets/IAM_Sentences/sentences/g06/g06-042k/g06-042k-s01-03.png,homoeopathy had been brought to his notice .
Datasets/IAM_Sentences/sentences/a01/a01-102u/a01-102u-s01-00.png,Mr. Brown went on :
Datasets/IAM_Sentences/sentences/g07/g07-000a/g07-000a-s01-06.png,"FREDERICK STOVEN , BUT WITH THEIR PERFECT"
Datasets/IAM_Sentences/sentences/a01/a01-007u/a01-007u-s02-02.png,have agreed to get together to face
Datasets/IAM_Sentences/sentences/f07/f07-021b/f07-021b-s01-05.png,"would , because Esau sold his birthright"
Datasets/IAM_Sentences/sentences/c03/c03-081d/c03-081d-s00-02.png,for herself ; we would be altogether clearer
Datasets/IAM_Sentences/sentences/f07/f07-081a/f07-081a-s01-02.png,"touch , the same unfailing sense of"
Datasets/IAM_Sentences/sentences/a01/a01-014u/a01-014u-s00-01.png,boycotting the London talks on the
Datasets/IAM_Sentences/sentences/f07/f07-042a/f07-042a-s01-01.png,they restore the hair of the bald and that
Datasets/IAM_Sentences/sentences/c03/c03-084d/c03-084d-s01-00.png,Last night's play in the
Datasets/IAM_Sentences/sentences/h07/h07-025a/h07-025a-s01-01.png,the new towns has generally been based on an
Datasets/IAM_Sentences/sentences/c03/c03-016e/c03-016e-s02-04.png,"clumsily , but half shyly and half in-"
Datasets/IAM_Sentences/sentences/g06/g06-031a/g06-031a-s04-04.png,"upon a dissolution , which must be had , will be"
Datasets/IAM_Sentences/sentences/g06/g06-018m/g06-018m-s02-02.png,"rain and damp , but the temperature is high"
Datasets/IAM_Sentences/sentences/c03/c03-081f/c03-081f-s00-02.png,for herself ; we would be altogether clearer
Datasets/IAM_Sentences/sentences/c03/c03-016e/c03-016e-s01-01.png,girl lives in a single dingy room with her
Datasets/IAM_Sentences/sentences/a01/a01-014x/a01-014x-s00-00.png,Sir Roy's United Federal Party is boycotting
Datasets/IAM_Sentences/sentences/a01/a01-122u/a01-122u-s01-00.png,""" Let us have a"
Datasets/IAM_Sentences/sentences/g07/g07-022a/g07-022a-s00-02.png,received a visit from him :
Datasets/IAM_Sentences/sentences/f07/f07-019b/f07-019b-s00-00.png,"Epicures and gourmands , sated by the"
Datasets/IAM_Sentences/sentences/g06/g06-045l/g06-045l-s00-01.png,"diplomatist Lord Ponsonby , had written to advise Anglesey"
Datasets/IAM_Sentences/sentences/c03/c03-016c/c03-016c-s01-01.png,girl lives in a single dingy room with her
Datasets/IAM_Sentences/sentences/a01/a01-117u/a01-117u-s03-01.png,that instead of taking it out of the
Datasets/IAM_Sentences/sentences/g07/g07-028a/g07-028a-s00-02.png,"her and that only compromised her , and the"
Datasets/IAM_Sentences/sentences/c03/c03-087f/c03-087f-s01-03.png,Ferris manipulated his characters .
Datasets/IAM_Sentences/sentences/g06/g06-011g/g06-011g-s05-03.png,are very fine . '
Datasets/IAM_Sentences/sentences/g06/g06-011b/g06-011b-s03-01.png,is going out fast ... .
Datasets/IAM_Sentences/sentences/c03/c03-003a/c03-003a-s01-05.png,the film so vividly to life .
Datasets/IAM_Sentences/sentences/g06/g06-031c/g06-031c-s04-03.png,"that the Commons House upon a dissolution , which"
Datasets/IAM_Sentences/sentences/h07/h07-040b/h07-040b-s00-03.png,sited on corners or in separate courts to avoid
Datasets/IAM_Sentences/sentences/g06/g06-037p/g06-037p-s03-01.png,numerous conventional remedies to which he had been
Datasets/IAM_Sentences/sentences/f07/f07-088b/f07-088b-s02-02.png,and a bowl of milk .
Datasets/IAM_Sentences/sentences/a01/a01-043u/a01-043u-s04-02.png,in Government and State housing
Datasets/IAM_Sentences/sentences/g06/g06-026i/g06-026i-s03-01.png,"of the Whigs , and the temporary assumption of the"
Datasets/IAM_Sentences/sentences/g06/g06-011o/g06-011o-s00-00.png,By the end of the month he still delighted
Datasets/IAM_Sentences/sentences/c03/c03-000e/c03-000e-s01-03.png,"script , and the great advantages to be"
Datasets/IAM_Sentences/sentences/g06/g06-050f/g06-050f-s01-00.png,In doing so he described his
Datasets/IAM_Sentences/sentences/g06/g06-026f/g06-026f-s02-01.png,has not one word of English . '
Datasets/IAM_Sentences/sentences/g06/g06-018p/g06-018p-s02-01.png,"as there has been much rain and damp , but the"
Datasets/IAM_Sentences/sentences/g06/g06-045o/g06-045o-s00-04.png,was being cultivated with extraordinary
Datasets/IAM_Sentences/sentences/g06/g06-047b/g06-047b-s00-04.png,of disciples among unorthodox medical men
Datasets/IAM_Sentences/sentences/g06/g06-011r/g06-011r-s04-01.png,"lively people , and what a busy town ."
Datasets/IAM_Sentences/sentences/c03/c03-016d/c03-016d-s03-01.png,is the case in Fanny her first lover is a sailor
Datasets/IAM_Sentences/sentences/g06/g06-031o/g06-031o-s00-00.png,' What a frightful event ! ' he wrote .
Datasets/IAM_Sentences/sentences/a01/a01-011u/a01-011u-s01-03.png,"Colonial Secretary , Mr. Iain Macleod ,"
Datasets/IAM_Sentences/sentences/g06/g06-037f/g06-037f-s02-00.png,While he was in Naples there had opened a new chapter in the
Datasets/IAM_Sentences/sentences/a01/a01-107u/a01-107u-s02-01.png,"never were . """
Datasets/IAM_Sentences/sentences/a01/a01-058x/a01-058x-s02-01.png,Government would try to get Germany to
Datasets/IAM_Sentences/sentences/g06/g06-031g/g06-031g-s04-03.png,"upon a dissolution , which must be had , will be a mass"
Datasets/IAM_Sentences/sentences/g06/g06-031c/g06-031c-s03-01.png,tremble for my country !
Datasets/IAM_Sentences/sentences/g06/g06-047i/g06-047i-s00-02.png,"' more like a God upon earth than a human being ' , had"
Datasets/IAM_Sentences/sentences/g06/g06-050a/g06-050a-s02-05.png,# being cured . '
Datasets/IAM_Sentences/sentences/f07/f07-028b/f07-028b-s01-01.png,the banquets of the ancient world was the
Datasets/IAM_Sentences/sentences/c03/c03-021a/c03-021a-s02-02.png,"pathy - "" you need someone to love you while"
Datasets/IAM_Sentences/sentences/g06/g06-011n/g06-011n-s03-00.png,Vesuvius seems to be tired ; he
Datasets/IAM_Sentences/sentences/g06/g06-011c/g06-011c-s02-01.png,resource .
Datasets/IAM_Sentences/sentences/g06/g06-047j/g06-047j-s00-05.png,unorthodox medical men in the cities
Datasets/IAM_Sentences/sentences/c03/c03-007e/c03-007e-s01-00.png,The shabby
Datasets/IAM_Sentences/sentences/c03/c03-096c/c03-096c-s02-03.png,of tradition .
Datasets/IAM_Sentences/sentences/g06/g06-026g/g06-026g-s03-02.png,assumption of the government by the Duke of Wellington .
Datasets/IAM_Sentences/sentences/c03/c03-081a/c03-081a-s00-02.png,for herself ; we would be altogether clearer
Datasets/IAM_Sentences/sentences/g06/g06-011n/g06-011n-s00-01.png,delighted in Naples .
Datasets/IAM_Sentences/sentences/a01/a01-026u/a01-026u-s00-00.png,"MR. IAIN MACLEOD , the Colonial Secretary ,"
Datasets/IAM_Sentences/sentences/g06/g06-031p/g06-031p-s04-02.png,"at the return of Ultratoryism , that the Commons"
Datasets/IAM_Sentences/sentences/h07/h07-066a/h07-066a-s01-04.png,national average .
Datasets/IAM_Sentences/sentences/g06/g06-026m/g06-026m-s03-01.png,"this letter he heard of the fall of the Whigs , and"
Datasets/IAM_Sentences/sentences/g06/g06-037l/g06-037l-s03-04.png,slightest effect .
Datasets/IAM_Sentences/sentences/a01/a01-087u/a01-087u-s01-02.png,statistical statement - and ended by inciting
Datasets/IAM_Sentences/sentences/g06/g06-011a/g06-011a-s00-00.png,By the end of the month he still delighted in
Datasets/IAM_Sentences/sentences/g06/g06-011b/g06-011b-s00-01.png,in Naples .
Datasets/IAM_Sentences/sentences/g06/g06-042a/g06-042a-s01-04.png,his notice .
Datasets/IAM_Sentences/sentences/g06/g06-031n/g06-031n-s01-01.png,tremble !
Datasets/IAM_Sentences/sentences/f07/f07-084a/f07-084a-s02-03.png,sorts of fishes That Greenwich never
